trade_date,open0,high0,low0,close0,vol0,open1,high1,close1,low1,vol1,open2,high2,close2,low2,vol
20180731,85.5198,85.8358,83.0975,83.8347,98393.75,2866.9,2884.68,2876.4,2854.32,1189311.12,9168.83,9216.73,9178.78,9132.08,147991104
20180801,84.256,85.2039,80.8858,81.5177,152238.12,2882.51,2897.4,2824.53,2823.93,1495143.5,9205.75,9235.74,9005.37,9005.37,173264528
20180802,81.2017,81.2017,73.9346,75.8304,333204.36,2815.34,2815.34,2768.02,2726.48,1741790,8971.71,8971.71,8780.56,8613.84,211111152
20180803,75.6198,77.6208,74.9878,75.8304,124738.07,2763.4,2777.66,2740.44,2740.43,1270063.62,8767.56,8807.95,8602.12,8602.12,152843392
20180806,80.1485,80.8858,75.5144,75.9357,172719.96,2736.53,2760.47,2705.16,2692.32,1297530.62,8582.43,8638.37,8422.84,8374.4,159152336
20180807,75.1985,77.7262,74.1453,77.4102,117613.37,2711.74,2779.37,2779.37,2696.04,1495797.38,8453.55,8674.03,8674.03,8379.7,171924064
20180808,76.8836,76.9889,74.7772,74.9878,102091.29,2771.13,2779.91,2744.07,2741.07,1476887.12,8654.55,8665.39,8499.22,8498.21,171693504
20180809,74.2506,77.7262,73.9346,76.9889,139550.85,2729.58,2801.66,2794.38,2726.22,1516603.38,8475.79,8797.58,8752.2,8460.43,199857200
20180810,76.8836,77.5155,76.4623,77.0942,73142.05,2791.4,2806.11,2795.31,2777.51,1215322.38,8752.94,8839.29,8813.49,8742.4,159645040
20180813,76.2517,78.2528,75.3038,77.6208,88189.64,2769.02,2789.8,2785.87,2742.56,1275322.38,8712.12,8855.62,8844.86,8676.21,160953760
20180814,77.4102,77.6208,76.2517,77.0942,77659.69,2780.74,2789.44,2780.96,2766.57,1095710.75,8832.27,8843.57,8784.9,8752.76,152129696
20180815,77.3049,78.99,76.041,76.1464,90491.04,2777.25,2777.7,2723.26,2721.24,1161617.88,8786.35,8786.35,8581.18,8567.23,163432384
20180816,75.6198,76.5676,74.04,75.4091,66706.57,2691.43,2732.95,2705.19,2672.74,1202778.75,8470.91,8628.91,8500.42,8408,157105424
20180817,75.9357,76.4623,73.9346,74.4612,60951.39,2723.89,2730.33,2668.97,2665.59,1124453,8573.57,8597.79,8357.04,8341.1,152746928
20180820,74.2506,74.9878,72.3548,74.3559,90536.07,2673.07,2698.47,2698.47,2653.11,1107841.62,8355,8414.15,8414.15,8241.14,149839728
20180821,74.2506,75.4091,73.5134,75.1985,69178.94,2700.34,2739.17,2733.83,2696.29,1135868.38,8419.79,8561.79,8549.06,8396.58,148513888
20180822,75.1985,77.7262,74.7772,76.1464,114090.37,2731.96,2731.96,2714.61,2709.06,936646.38,8533.43,8533.43,8454.75,8440.58,133426216
20180823,75.3038,76.8836,75.3038,76.2517,82127.24,2714.87,2736.01,2724.62,2700.8,984464.69,8446.98,8543.42,8501.39,8411.74,140125088
20180824,76.673,76.673,75.5144,76.041,42941.92,2717.08,2748.82,2729.43,2705.32,1005162.69,8480.22,8544.25,8484.74,8438.08,140519872
20180827,76.673,83.6241,76.2517,83.4134,350456.47,2736.32,2780.9,2780.9,2736.32,1327625.75,8511.37,8728.56,8728.56,8511.37,178436160
20180828,82.1496,85.6252,81.7283,84.256,346414.23,2782.29,2791.39,2777.98,2769.4,1187493.62,8731.64,8758.71,8733.75,8693.52,162576032
20180829,84.9932,88.9954,84.1507,87.8369,368055.41,2774.86,2778.54,2769.29,2762.35,1001569.31,8716.82,8724.81,8678.26,8649.73,154352064
20180830,87.7316,92.471,86.4677,86.4677,342618.91,2769.33,2780.53,2737.74,2736.35,1060609.38,8666.9,8701.04,8552.8,8543.79,157376464
20180831,88.5741,89.9433,86.4677,86.889,253615.52,2730.11,2744.63,2725.25,2710.54,1097587.38,8509.27,8536.06,8465.47,8425.35,138909488
20180903,87.6262,90.7858,87.205,89.522,308939.58,2716.4,2722.85,2720.73,2692.36,1022130.12,8440.95,8459.95,8455.55,8344.93,145309024
20180904,90.1539,93.1029,88.9954,90.9965,240284.51,2720.65,2756.61,2750.58,2712.38,1090103.12,8454.14,8573.2,8554.44,8420.88,161407184
20180905,91.1018,94.3667,90.3646,91.4178,244875.8,2741.38,2745.47,2704.34,2704.34,1050022.75,8519.57,8536.84,8402.51,8402.51,166313904
20180906,89.838,93.3135,89.3114,90.7858,203538.52,2697.58,2719.41,2691.59,2683.74,990178.31,8369.3,8450.89,8324.16,8295.48,144449456
